"id","conversation_id","full_text","url","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28","hashtags/29","hashtags/30","hashtags/31","hashtags/32","hashtags/33","hashtags/34","hashtags/35","view_count","favorite_count","retweet_count","reply_count","created_at"
"1616128501505048576","1616128501505048576","Contact a Steffes Group representative today to learn how we can help get you top dollar for your oil &amp; gas equipment. Now is the time to sell!  Contact us today at: https://t.co/7BWTBBhVDo","https://twitter.com/SteffesGroup/status/1616128501505048576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"233535","6","0","0","2023-01-19T17:40:35.000Z"
"1599815537210564610","1599815537210564610","Why Family First Life? Here is why!","https://twitter.com/FamilyFirstLife/status/1599815537210564610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84","8","2","2022-12-05T17:18:41.000Z"
"1648400474524057601","1648400474524057601","Our favorite Catographer, Nils Jacobi shares his ""angry kitty shots"" from the archives to ""brighten your day."" 😼😾📷

#grumpy #grumpycat #cat #catsofinstagram #photography #toocute

https://t.co/bpXZY2Si0T","https://twitter.com/ColeTheBlackCat/status/1648400474524057601","grumpy","grumpycat","cat","catsofinstagram","photography","toocute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"371","20","5","0","2023-04-18T18:57:53.000Z"
"1648394362978463744","1648394362978463744","This is Pickle's ""While I enjoy head scratches, I could still kill you on a whim if I wanted to"" face

#Pickle #Cat #ContainsMultitudes https://t.co/IPoHWY0BlZ","https://twitter.com/garwboy/status/1648394362978463744","Pickle","Cat","ContainsMultitudes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1244","30","1","3","2023-04-18T18:33:36.000Z"
"1648357593507676165","1648357593507676165","Niel + Sir Fat Cat McCatterson
#aftg #aftgfanart #Nieljosten #cat #fanart https://t.co/yBQpMfltij","https://twitter.com/jumie_art/status/1648357593507676165","aftg","aftgfanart","Nieljosten","cat","fanart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1203","150","39","1","2023-04-18T16:07:29.000Z"
"1648345773384556545","1648345773384556545","🆘URGENT🆘SENIOR ALERT🆘
💝SWEET 8YO #SENIOR  DILUTE #CALICO KITTY ""SADIE""💝
😿💔FOUND IN AN ELEVATOR OF APARTMENT BLDG.
🚨NEEDS #ADOPTION #RESCUE #FOSTER ASAP!🚨
▶168841 https://t.co/JOE29wIlKY
🙏🏽#ADOPT #PLEDGE #SAVEALIFE #AdoptDontShop
#MANHATTAN #NYCACC #CAT #CatsofTwitter https://t.co/G5LhNkvyCG","https://twitter.com/sachikoko/status/1648345773384556545","SENIOR","CALICO","ADOPTION","RESCUE","FOSTER","ADOPT","PLEDGE","SAVEALIFE","AdoptDontShop","MANHATTAN","NYCACC","CAT","CatsofTwitter",,,,,,,,,,,,,,,,,,,,,,,,"1503","165","207","6","2023-04-18T15:20:31.000Z"
"1648343121124573185","1648343121124573185","Lenna had a bug for breakfast (watch her licking her lips at very end:) It's #TuxieTuesday so watch for more of our sweet oreos! We've got lots of them😸#cats #cat #pets #AdoptDontShop #virginia #nova #va #dc #kittens #kitten #PositiveVibes #tuesdayvibe #tuesday #CatsOfTwitter https://t.co/ejKZK5mWjs","https://twitter.com/RappCatsAdopt/status/1648343121124573185","TuxieTuesday","cats","cat","pets","AdoptDontShop","virginia","nova","va","dc","kittens","kitten","PositiveVibes","tuesdayvibe","tuesday","CatsOfTwitter",,,,,,,,,,,,,,,,,,,,,,"2687","94","20","5","2023-04-18T15:09:59.000Z"
"1648343058780438528","1648343058780438528","#cat #art https://t.co/ORfQizo4hl","https://twitter.com/purrinink/status/1648343058780438528","cat","art",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20954","1468","396","8","2023-04-18T15:09:44.000Z"
"1648298267221045253","1648298267221045253","ラブ❤️招き。

#ねこ #猫 #cat https://t.co/XAVdbCqFa2","https://twitter.com/nekoiroiro/status/1648298267221045253","ねこ","猫","cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16811","1187","118","8","2023-04-18T12:11:45.000Z"
"1648201653915459584","1648201653915459584","I'm still working on commission ❤️ #chibi #cat #kawaii https://t.co/Z3jb9YIofW","https://twitter.com/MoonWhoArt/status/1648201653915459584","chibi","cat","kawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4328","213","14","4","2023-04-18T05:47:51.000Z"
